wallet,name,score,pass,fail_reasons,trades_n,episodes_n,closed_n,open_n,history_days,days_since_last,roi_copy,roi_trimmed,t_stat,winrate,roi_hold,roi_wallet,roi_half1,roi_half2,roi_last30,max_dd_stakes,conc_p95,conc_max,median_hold_h,both_sides_share,snipe_share,live_share,median_volume,share_entry_ge90,share_entry_lt10,profit_share_ge90,profit_share_lt10,profit_share_top1,short_crypto_share,edge_all,exit_value_add,size_signal,trades_truncated,top_category,top_segments,approved_segments
0xef03567fc5a30b665efca7e9ef2e9e3fe6031fbf,0xef03567fC5a30B665efca7e9eF2e9e3fe6031FbF-1759574216489,-0.0198,False,t<2.0;concurrency_p95>8;low_liquidity;drawdown,1259,768,765,3,352.9,0.1,0.0858,-0.0534,1.11,0.753,0.0841,0.007,0.0106,0.1608,-0.0113,23.05,52.0,62,14.49,0.044,0.0,0.807,24738,0.456,0.037,0.118,0.032,0.036,0.021,0.0151,0.0088,0.1889,False,Weather,"Weather / price=0.00-0.10 (n=13, roi=+1.82) | Weather / Recurring / price=0.00-0.10 (n=13, roi=+1.82) | Weather / Recurring / Atlanta Daily Weather (n=36, roi=+0.90)",
0x7c4358fb49ba58ee08d83cfaa12c73de9312deee,lanpa,-0.0199,False,t<2.0;concurrency_p95>8;drawdown;unstable_halves,1010,407,395,12,99.5,0.3,0.1051,-0.1103,1.08,0.514,0.1343,0.0986,0.2856,-0.0744,-0.1572,29.6,18.0,22,3.21,0.033,0.005,0.904,44614,0.033,0.099,0.028,0.147,0.079,0.301,0.0171,-0.0591,-0.1145,False,Sports,"Sports / Other sport / live (n=152, roi=+0.36) | Sports / Other sport / type=binary (n=164, roi=+0.33) | Sports / Other sport (n=177, roi=+0.31)",
0x2a58cb03e4934ca46d03d80a3e531879402fb808,N.sam,-0.0202,False,t<2.0;concurrency_p95>8;drawdown;unstable_halves,503,153,138,15,99.4,0.2,0.22,-0.1757,0.69,0.42,0.2336,-0.0566,0.5996,-0.1596,0.1623,23.1,17.0,19,2.75,0.049,0.0,0.604,440647,0.007,0.159,0.001,0.179,0.178,0.0,0.0233,-0.0047,0.8375,False,Sports,"Economy / USD (n=28, roi=+0.91) | Economy (n=29, roi=+0.88) | Economy / USD / Bonbast  (n=22, roi=+0.95)",
0xf7c3b6cb4badc158f44cef43364701d3a393eac2,Senphys,-0.0202,False,t<2.0;concurrency_p95>8;drawdown,3645,3587,3562,25,136.9,0.0,0.0245,-0.0589,1.03,0.668,0.0248,0.0239,0.0282,0.0208,0.0236,60.37,56.0,110,3.01,0.0,0.0,0.579,218530,0.184,0.018,0.019,0.087,0.051,0.0,0.0043,-0.0569,0.038,False,Sports,"Sports / Tennis / price=0.00-0.10 (n=32, roi=+1.11) | Sports / price=0.00-0.10 (n=62, roi=+0.47) | Sports / Tennis (n=1696, roi=+0.06)",
0x2ca106778b11724d0e14c96be3529fe753d7fc25,n552,-0.0208,False,t<2.0;concurrency_p95>8;both_sides;drawdown;unstable_halves;history<90d,3412,1113,1104,9,37.9,0.1,0.0453,-0.1421,0.88,0.514,0.0533,-0.0109,0.095,-0.0045,0.0393,47.3,94.0,107,2.23,0.154,0.0,0.754,64832,0.067,0.056,0.021,0.057,0.044,0.0,0.0029,-0.0539,-0.0317,False,Sports,"Sports / Other sport / price=0.10-0.30 (n=35, roi=+0.67) | Sports / Tennis / price=0.00-0.10 (n=15, roi=+0.95) | Sports / price=0.10-0.30 (n=137, roi=+0.26)","Sports / Other sport / price=0.10-0.30 (n=35, roi=+0.67)"
0x55e2436d747835c7e40b0c6cf92f632bf1215fc9,Rhabarberbarbarbar,-0.0208,False,t<2.0;concurrency_p95>8;low_liquidity;entries>=0.90;drawdown,940,467,453,13,215.5,0.2,0.2294,-0.0448,1.39,0.753,0.226,0.2038,0.4049,0.0547,0.2943,16.84,27.0,41,3.65,0.031,0.002,0.919,13317,0.519,0.066,0.079,0.033,0.107,0.194,0.0307,0.0329,-0.2615,False,Crypto,"Economy (n=2, roi=+3.35) | Economy / Macro Indicators (n=2, roi=+3.35) | Economy / Macro Indicators / Japan Unemployment (n=2, roi=+3.35)",
0x0879e83c77b6eb33d44aaa47c4bcfcb8e3024d2f,tornbs,-0.0212,False,t<2.0;concurrency_p95>8;drawdown,5374,3269,3246,23,258.6,0.0,0.0184,-0.0775,0.82,0.647,0.0026,0.0001,0.0088,0.028,0.0481,54.06,71.0,82,2.92,0.053,0.044,0.422,91867,0.173,0.034,0.059,0.047,0.012,0.483,0.0004,0.0624,-0.0047,False,Crypto,"Sports / Other sport / price=0.00-0.10 (n=17, roi=+1.09) | Politics / price=0.00-0.10 (n=19, roi=+1.03) | Sports / Other sport / pre (n=29, roi=+0.73)",
0xe4dda048fb945b71b192704859afda48e28d4f27,0xE4dDA048Fb945b71B192704859afDa48E28D4F27-1765026512448,-0.0212,False,t<2.0;drawdown,306,227,225,2,290.6,0.2,0.0982,-0.0637,1.0,0.48,0.0417,0.0983,0.0646,0.1315,0.2981,21.77,5.0,6,3.82,0.013,0.0,0.706,316584,0.0,0.036,0.0,0.0,0.106,0.0,0.0409,1.2534,-0.065,False,Esports,"Esports (n=201, roi=+0.09) | Esports / Esports / live (n=134, roi=+0.11) | Esports / Esports / price=0.50-0.70 (n=60, roi=+0.14)",
0x91a0b0cf8bb0ab06bcd3d6ae8dfc3dfe8b6d1257,HoodTrader,-0.0213,False,t<2.0;concurrency_p95>8;both_sides;drawdown,1873,1081,1070,10,96.8,0.0,0.0422,-0.0696,0.92,0.625,0.0253,0.0373,0.0727,0.0117,-0.0879,21.69,16.0,22,1.67,0.129,0.0,0.963,83417,0.066,0.01,0.119,0.012,0.017,0.154,-0.0043,0.0749,-0.0446,False,Sports,"Sports / Soccer / live (n=64, roi=+0.36) | Esports / price=0.00-0.10 (n=5, roi=+1.27) | Esports / Esports / price=0.00-0.10 (n=5, roi=+1.27)",
0x9b11866433281ade9f2811dbde8acdefc45f5375,,-0.0215,False,t<2.0;concurrency_p95>8;low_liquidity;both_sides;drawdown;history<90d,10500,1598,1595,3,9.5,0.2,0.1399,-0.043,1.5,0.533,0.1417,0.131,0.2603,0.0197,0.1024,33.92,295.0,309,2.54,0.268,0.0,0.989,26553,0.013,0.008,0.007,0.0,0.038,0.0,0.0138,-0.0046,-0.1185,True,Sports,"Sports / price=0.00-0.10 (n=13, roi=+4.21) | Sports / American Football / price=0.00-0.10 (n=5, roi=+5.88) | Sports / American Football / type=spreads (n=352, roi=+0.42)","Sports / Baseball / type=totals (n=390, roi=+0.11)"
