wallet,level,segment,n,roi_mean,roi_shrunk,t,winrate,roi_half1,roi_half2,approved
0x9b11866433281ade9f2811dbde8acdefc45f5375,L2t,Sports / Baseball / type=totals,390,0.1106,0.112,2.07,0.546,0.1554,0.0658,True
0x1610db79f753a80207e1d66716be9e91e627ae49,L2t,Esports / Esports / type=moneyline,202,0.2332,0.2115,2.02,0.51,0.3179,0.1484,True
0x1610db79f753a80207e1d66716be9e91e627ae49,L2l,Esports / Esports / pre,104,0.3362,0.2808,2.52,0.596,0.3831,0.2892,True
0xe7e91d5d52b1524ddf6e83082d2d8b012a78fb3c,L3,Sports / Other sport / Tokyo Daily Lowest Temperature,42,0.7987,0.5537,2.06,0.81,0.8831,0.7144,True
0xe7e91d5d52b1524ddf6e83082d2d8b012a78fb3c,L1b,Sports / price=0.10-0.30,54,0.7352,0.547,2.13,0.37,0.9077,0.5626,True
0xe7e91d5d52b1524ddf6e83082d2d8b012a78fb3c,L2b,Sports / Other sport / price=0.10-0.30,54,0.7352,0.547,2.13,0.37,0.9077,0.5626,True
0x2ef2f13f30e523197e9e66afa2f2620f02fbfaa5,L1,Sports,2292,0.1973,0.1973,3.26,0.451,0.2412,0.1534,True
0x2ef2f13f30e523197e9e66afa2f2620f02fbfaa5,L2,Sports / Other sport,2290,0.1984,0.1983,3.27,0.451,0.2431,0.1536,True
0x2ef2f13f30e523197e9e66afa2f2620f02fbfaa5,L3,Sports / Other sport / Tokyo Daily Weather,372,0.4119,0.4007,2.84,0.5,0.3897,0.4341,True
0x2ef2f13f30e523197e9e66afa2f2620f02fbfaa5,L3,Sports / Other sport / Seoul Daily Weather,534,0.2941,0.2904,2.24,0.506,0.5225,0.0657,True
0x2ef2f13f30e523197e9e66afa2f2620f02fbfaa5,L2t,Sports / Other sport / type=binary,2290,0.1984,0.1983,3.27,0.451,0.2431,0.1536,True
0x2ef2f13f30e523197e9e66afa2f2620f02fbfaa5,L1b,Sports / price=0.10-0.30,650,0.1789,0.1792,3.23,0.398,0.3158,0.0419,True
0x2ef2f13f30e523197e9e66afa2f2620f02fbfaa5,L1b,Sports / price=0.30-0.50,374,0.1115,0.1156,2.84,0.516,0.1306,0.0924,True
0x2ef2f13f30e523197e9e66afa2f2620f02fbfaa5,L1b,Sports / price=0.50-0.70,252,0.0808,0.089,2.3,0.607,0.1527,0.0089,True
0x2ef2f13f30e523197e9e66afa2f2620f02fbfaa5,L1b,Sports / price=0.70-0.90,166,0.0687,0.082,2.71,0.789,0.0548,0.0826,True
0x2ef2f13f30e523197e9e66afa2f2620f02fbfaa5,L2b,Sports / Other sport / price=0.10-0.30,649,0.1807,0.181,3.26,0.399,0.3198,0.0419,True
0x2ef2f13f30e523197e9e66afa2f2620f02fbfaa5,L2b,Sports / Other sport / price=0.30-0.50,373,0.1145,0.1185,2.92,0.517,0.1367,0.0924,True
0x2ef2f13f30e523197e9e66afa2f2620f02fbfaa5,L2b,Sports / Other sport / price=0.50-0.70,252,0.0808,0.089,2.3,0.607,0.1527,0.0089,True
0x2ef2f13f30e523197e9e66afa2f2620f02fbfaa5,L2b,Sports / Other sport / price=0.70-0.90,166,0.0687,0.082,2.71,0.789,0.0548,0.0826,True
0x2ef2f13f30e523197e9e66afa2f2620f02fbfaa5,L2l,Sports / Other sport / live,1821,0.2164,0.2161,3.1,0.483,0.2667,0.1661,True
0xde9f7f4e77a1595623ceb58e469f776257ccd43c,L2,Sports / Tennis,2999,0.1087,0.1086,2.01,0.525,0.0513,0.166,True
0xde9f7f4e77a1595623ceb58e469f776257ccd43c,L3,Sports / Tennis / ATP,2013,0.1608,0.1602,2.06,0.53,0.0365,0.285,True
0xde9f7f4e77a1595623ceb58e469f776257ccd43c,L2t,Sports / Tennis / type=moneyline,2999,0.1087,0.1086,2.01,0.525,0.0513,0.166,True
0xde9f7f4e77a1595623ceb58e469f776257ccd43c,L1b,Sports / price=0.70-0.90,640,0.0472,0.0488,2.42,0.823,0.012,0.0824,True
0xde9f7f4e77a1595623ceb58e469f776257ccd43c,L2b,Sports / Tennis / price=0.70-0.90,632,0.045,0.0467,2.28,0.821,0.0124,0.0775,True
0x9cefe51ca5380e8d66d25f9463900581a4ff8fa3,L1,Sports,2044,0.2077,0.2077,3.84,0.344,0.2318,0.1836,True
0x9cefe51ca5380e8d66d25f9463900581a4ff8fa3,L2,Sports / Other sport,2044,0.2077,0.2077,3.84,0.344,0.2318,0.1836,True
0x9cefe51ca5380e8d66d25f9463900581a4ff8fa3,L3,Sports / Other sport / Wellington Daily Weather,290,0.3313,0.3233,2.5,0.41,0.1375,0.5251,True
0x9cefe51ca5380e8d66d25f9463900581a4ff8fa3,L2t,Sports / Other sport / type=binary,2044,0.2077,0.2077,3.84,0.344,0.2318,0.1836,True
0x9cefe51ca5380e8d66d25f9463900581a4ff8fa3,L1b,Sports / price=0.00-0.10,590,0.374,0.3685,2.27,0.231,0.3842,0.3637,True
0x9cefe51ca5380e8d66d25f9463900581a4ff8fa3,L1b,Sports / price=0.10-0.30,860,0.1947,0.195,3.41,0.316,0.2458,0.1436,True
0x9cefe51ca5380e8d66d25f9463900581a4ff8fa3,L2b,Sports / Other sport / price=0.00-0.10,590,0.374,0.3685,2.27,0.231,0.3842,0.3637,True
0x9cefe51ca5380e8d66d25f9463900581a4ff8fa3,L2b,Sports / Other sport / price=0.10-0.30,860,0.1947,0.195,3.41,0.316,0.2458,0.1436,True
0x9cefe51ca5380e8d66d25f9463900581a4ff8fa3,L2l,Sports / Other sport / live,1971,0.2088,0.2088,3.77,0.347,0.2229,0.1947,True
0xad5057e6947081649c263a538d58899117e63122,L1b,Sports / price=0.10-0.30,337,0.4637,0.4814,4.02,0.368,0.5117,0.416,True
0xad5057e6947081649c263a538d58899117e63122,L2b,Sports / Other sport / price=0.10-0.30,325,0.4654,0.4837,4.0,0.372,0.4666,0.4642,True
0x501c9ecce9236992794cd12e88d22355e6454d6d,L1,Sports,1275,0.374,0.3716,4.27,0.54,0.294,0.4539,True
0x501c9ecce9236992794cd12e88d22355e6454d6d,L2,Sports / Other sport,1275,0.374,0.3716,4.27,0.54,0.294,0.4539,True
0x501c9ecce9236992794cd12e88d22355e6454d6d,L2t,Sports / Other sport / type=binary,1275,0.374,0.3716,4.27,0.54,0.294,0.4539,True
0x501c9ecce9236992794cd12e88d22355e6454d6d,L1b,Sports / price=0.00-0.10,291,0.9661,0.9181,2.71,0.268,0.7631,1.1678,True
0x501c9ecce9236992794cd12e88d22355e6454d6d,L1b,Sports / price=0.10-0.30,318,0.302,0.2971,2.66,0.333,0.3337,0.2703,True
0x501c9ecce9236992794cd12e88d22355e6454d6d,L1b,Sports / price=0.30-0.50,167,0.3569,0.3421,3.85,0.521,0.3048,0.4083,True
0x501c9ecce9236992794cd12e88d22355e6454d6d,L1b,Sports / price=0.50-0.70,137,0.1468,0.1559,2.72,0.635,0.1698,0.1241,True
0x501c9ecce9236992794cd12e88d22355e6454d6d,L1b,Sports / price=0.70-0.90,154,0.1165,0.1283,3.94,0.838,0.1098,0.1233,True
0x501c9ecce9236992794cd12e88d22355e6454d6d,L2b,Sports / Other sport / price=0.00-0.10,291,0.9661,0.9181,2.71,0.268,0.7631,1.1678,True
0x501c9ecce9236992794cd12e88d22355e6454d6d,L2b,Sports / Other sport / price=0.10-0.30,318,0.302,0.2971,2.66,0.333,0.3337,0.2703,True
0x501c9ecce9236992794cd12e88d22355e6454d6d,L2b,Sports / Other sport / price=0.30-0.50,167,0.3569,0.3421,3.85,0.521,0.3048,0.4083,True
0x501c9ecce9236992794cd12e88d22355e6454d6d,L2b,Sports / Other sport / price=0.50-0.70,137,0.1468,0.1559,2.72,0.635,0.1698,0.1241,True
0x501c9ecce9236992794cd12e88d22355e6454d6d,L2b,Sports / Other sport / price=0.70-0.90,154,0.1165,0.1283,3.94,0.838,0.1098,0.1233,True
0x501c9ecce9236992794cd12e88d22355e6454d6d,L2l,Sports / Other sport / live,1141,0.4202,0.4167,4.32,0.521,0.3267,0.5135,True
0xb284cabf4ab41ba04e51f9da6baca4bfdbb6b1fb,L1,Sports,2132,0.0804,0.0803,2.7,0.649,0.0678,0.0931,True
0xb284cabf4ab41ba04e51f9da6baca4bfdbb6b1fb,L2,Sports / Soccer,1025,0.0942,0.0938,2.28,0.669,0.0627,0.1258,True
0xb284cabf4ab41ba04e51f9da6baca4bfdbb6b1fb,L2t,Sports / Soccer / type=moneyline,613,0.1243,0.1226,2.03,0.62,0.0453,0.2029,True
0xb284cabf4ab41ba04e51f9da6baca4bfdbb6b1fb,L1b,Sports / price=0.10-0.30,199,0.3421,0.3174,2.21,0.302,0.2533,0.4301,True
0xb284cabf4ab41ba04e51f9da6baca4bfdbb6b1fb,L2b,Sports / Soccer / price=0.10-0.30,109,0.4441,0.3862,2.14,0.33,0.362,0.5246,True
0xb284cabf4ab41ba04e51f9da6baca4bfdbb6b1fb,L2b,Sports / Soccer / price=0.70-0.90,231,0.067,0.0673,2.18,0.844,0.085,0.0492,True
0xb284cabf4ab41ba04e51f9da6baca4bfdbb6b1fb,L2l,Sports / Soccer / live,1024,0.0939,0.0934,2.27,0.669,0.0598,0.128,True
0x59388224c37c08cb742d1b00bf6b0632150d7788,L3,Sports / Other sport / Busan Daily Weather,52,0.0999,0.0698,2.07,0.846,0.1316,0.0683,True
0x164cb85e1718d0a8f95d588b08fbb52b34233e39,L1,Sports,3210,0.431,0.4307,5.75,0.551,0.3533,0.5086,True
0x164cb85e1718d0a8f95d588b08fbb52b34233e39,L2,Sports / Other sport,2928,0.4718,0.4712,5.77,0.554,0.4642,0.4793,True
0x164cb85e1718d0a8f95d588b08fbb52b34233e39,L3,Sports / Other sport / Shanghai Daily Lowest Temperature,282,1.5238,1.4484,2.21,0.553,1.7086,1.339,True
0x164cb85e1718d0a8f95d588b08fbb52b34233e39,L3,Sports / Other sport / Guangzhou Daily Weather,283,0.4918,0.4847,2.17,0.572,0.7618,0.2238,True
0x164cb85e1718d0a8f95d588b08fbb52b34233e39,L3,Sports / Other sport / Shanghai Daily Weather,354,0.4079,0.4066,3.5,0.556,0.4519,0.3639,True
0x164cb85e1718d0a8f95d588b08fbb52b34233e39,L3,Sports / Other sport / Chengdu Daily Weather,286,0.4414,0.4376,2.28,0.524,0.586,0.2967,True
0x164cb85e1718d0a8f95d588b08fbb52b34233e39,L3,Sports / Other sport / Wuhan Daily Weather,469,0.3311,0.3333,4.02,0.565,0.4406,0.222,True
0x164cb85e1718d0a8f95d588b08fbb52b34233e39,L3,Sports / Other sport / Chongqing Daily Weather,342,0.3648,0.3659,2.95,0.553,0.5152,0.2143,True
0x164cb85e1718d0a8f95d588b08fbb52b34233e39,L3,Sports / Other sport / Beijing Daily Weather,408,0.2802,0.2851,3.29,0.534,0.2835,0.277,True
0x164cb85e1718d0a8f95d588b08fbb52b34233e39,L2t,Sports / Other sport / type=binary,2904,0.4753,0.4747,5.76,0.553,0.4727,0.478,True
0x164cb85e1718d0a8f95d588b08fbb52b34233e39,L1b,Sports / price=0.00-0.10,383,2.0648,1.9814,3.42,0.279,1.4152,2.7109,True
0x164cb85e1718d0a8f95d588b08fbb52b34233e39,L1b,Sports / price=0.10-0.30,725,0.3558,0.3566,5.36,0.4,0.3852,0.3265,True
0x164cb85e1718d0a8f95d588b08fbb52b34233e39,L1b,Sports / price=0.30-0.50,862,0.2574,0.2603,8.13,0.555,0.2324,0.2824,True
0x164cb85e1718d0a8f95d588b08fbb52b34233e39,L1b,Sports / price=0.50-0.70,666,0.127,0.1345,5.35,0.653,0.1176,0.1363,True
0x164cb85e1718d0a8f95d588b08fbb52b34233e39,L1b,Sports / price=0.70-0.90,420,0.0582,0.0731,3.18,0.76,0.0475,0.069,True
0x164cb85e1718d0a8f95d588b08fbb52b34233e39,L2b,Sports / Other sport / price=0.00-0.10,368,2.1242,2.0345,3.39,0.285,1.3931,2.8552,True
0x164cb85e1718d0a8f95d588b08fbb52b34233e39,L2b,Sports / Other sport / price=0.10-0.30,673,0.4056,0.4049,5.87,0.416,0.4648,0.3465,True
0x164cb85e1718d0a8f95d588b08fbb52b34233e39,L2b,Sports / Other sport / price=0.30-0.50,803,0.2778,0.2804,8.71,0.567,0.2984,0.2572,True
0x164cb85e1718d0a8f95d588b08fbb52b34233e39,L2b,Sports / Other sport / price=0.50-0.70,582,0.1283,0.1369,5.29,0.651,0.114,0.1427,True
0x164cb85e1718d0a8f95d588b08fbb52b34233e39,L2b,Sports / Other sport / price=0.70-0.90,355,0.071,0.0878,3.88,0.755,0.0625,0.0795,True
0x164cb85e1718d0a8f95d588b08fbb52b34233e39,L2l,Sports / Other sport / live,2693,0.4377,0.4373,5.77,0.561,0.4924,0.3831,True
0xed2930d2be9d3d992cbd0acd6d0efca25d533024,L1b,Sports / price=0.10-0.30,262,0.238,0.2349,2.18,0.363,0.2462,0.2298,True
0xf0b3fee1bb052e25a73cd91cb23ce41c72a2145d,L1,Other,92,0.2833,0.2332,2.89,0.467,0.1136,0.453,True
0xf0b3fee1bb052e25a73cd91cb23ce41c72a2145d,L2,Other / ?,91,0.292,0.2399,2.95,0.473,0.1275,0.453,True
0xf0b3fee1bb052e25a73cd91cb23ce41c72a2145d,L3,Other / ? / ?,91,0.292,0.2399,2.95,0.473,0.1275,0.453,True
0xf0b3fee1bb052e25a73cd91cb23ce41c72a2145d,L2t,Other / ? / type=binary,91,0.292,0.2399,2.95,0.473,0.1275,0.453,True
0x746295855be6f49fe2da2accd69ea34b3cf23ac3,L1b,Sports / price=0.30-0.50,420,0.1564,0.1515,2.58,0.476,0.1994,0.1134,True
0x746295855be6f49fe2da2accd69ea34b3cf23ac3,L2b,Sports / Tennis / price=0.30-0.50,361,0.1607,0.1548,2.44,0.474,0.2001,0.1215,True
0x746295855be6f49fe2da2accd69ea34b3cf23ac3,L2b,Sports / Soccer / price=0.50-0.70,50,0.2575,0.1976,2.26,0.72,0.3174,0.1976,True
0xd66196189fee25e395d55dcc966cdfc27e0d2750,L1,Sports,1829,0.1075,0.107,2.26,0.372,0.0373,0.1777,True
0xd66196189fee25e395d55dcc966cdfc27e0d2750,L2,Sports / Other sport,1557,0.1268,0.1258,2.41,0.378,0.0781,0.1753,True
0xd66196189fee25e395d55dcc966cdfc27e0d2750,L3,Sports / Other sport / Shanghai Daily Weather,567,0.158,0.1545,2.29,0.4,0.2392,0.077,True
0xd66196189fee25e395d55dcc966cdfc27e0d2750,L2t,Sports / Other sport / type=binary,1503,0.1394,0.1383,2.58,0.382,0.1045,0.1742,True
0xd66196189fee25e395d55dcc966cdfc27e0d2750,L1b,Sports / price=0.10-0.30,648,0.2093,0.2047,2.89,0.309,0.1197,0.299,True
0xd66196189fee25e395d55dcc966cdfc27e0d2750,L1b,Sports / price=0.50-0.70,234,0.1128,0.1083,2.57,0.603,0.0983,0.1273,True
0xd66196189fee25e395d55dcc966cdfc27e0d2750,L2b,Sports / Other sport / price=0.10-0.30,551,0.2152,0.2096,2.94,0.323,0.2221,0.2084,True
0xd66196189fee25e395d55dcc966cdfc27e0d2750,L2b,Sports / Other sport / price=0.30-0.50,333,0.1117,0.1085,2.03,0.45,0.1107,0.1126,True
0xd66196189fee25e395d55dcc966cdfc27e0d2750,L2l,Sports / Other sport / live,1268,0.139,0.1377,2.24,0.377,0.1008,0.1771,True
0x31864feb9d25dee93728c6225ba891530967e9ca,L1,Esports,2000,0.1964,0.1966,7.7,0.553,0.1856,0.2072,True
0x31864feb9d25dee93728c6225ba891530967e9ca,L1,Sports,445,0.2758,0.273,4.82,0.566,0.2209,0.3305,True
0x31864feb9d25dee93728c6225ba891530967e9ca,L2,Esports / Esports,2000,0.1964,0.1966,7.7,0.553,0.1856,0.2072,True
0x31864feb9d25dee93728c6225ba891530967e9ca,L2,Sports / Tennis,406,0.249,0.2472,4.59,0.564,0.1647,0.3333,True
0x31864feb9d25dee93728c6225ba891530967e9ca,L3,Esports / Esports / League of Legends,2000,0.1964,0.1966,7.7,0.553,0.1856,0.2072,True
0x31864feb9d25dee93728c6225ba891530967e9ca,L3,Sports / Tennis / League of Legends,406,0.249,0.2472,4.59,0.564,0.1647,0.3333,True
0x31864feb9d25dee93728c6225ba891530967e9ca,L2t,Esports / Esports / type=child_moneyline,1700,0.1941,0.1943,6.89,0.551,0.1754,0.2128,True
0x31864feb9d25dee93728c6225ba891530967e9ca,L2t,Esports / Esports / type=moneyline,298,0.2119,0.2119,3.62,0.57,0.1807,0.2431,True
0x31864feb9d25dee93728c6225ba891530967e9ca,L2t,Sports / Tennis / type=child_moneyline,301,0.2069,0.2071,3.62,0.538,0.0796,0.3333,True
0x31864feb9d25dee93728c6225ba891530967e9ca,L2t,Sports / Tennis / type=moneyline,105,0.3698,0.3444,2.83,0.638,0.3228,0.4159,True
0x31864feb9d25dee93728c6225ba891530967e9ca,L1b,Esports / price=0.10-0.30,251,0.4748,0.4553,4.13,0.454,0.4061,0.543,True
0x31864feb9d25dee93728c6225ba891530967e9ca,L1b,Esports / price=0.30-0.50,708,0.1956,0.196,5.48,0.465,0.2427,0.1484,True
0x31864feb9d25dee93728c6225ba891530967e9ca,L1b,Sports / price=0.10-0.30,54,0.7792,0.6256,3.47,0.519,0.5974,0.9609,True
0x31864feb9d25dee93728c6225ba891530967e9ca,L1b,Sports / price=0.30-0.50,176,0.2406,0.2376,3.26,0.483,0.1419,0.3393,True
0x31864feb9d25dee93728c6225ba891530967e9ca,L1b,Esports / price=0.50-0.70,597,0.124,0.1268,5.1,0.601,0.1161,0.1319,True
0x31864feb9d25dee93728c6225ba891530967e9ca,L1b,Sports / price=0.50-0.70,148,0.1243,0.1346,2.45,0.642,0.1295,0.1191,True
0x31864feb9d25dee93728c6225ba891530967e9ca,L2b,Esports / Esports / price=0.10-0.30,251,0.4748,0.4553,4.13,0.454,0.4061,0.543,True
0x31864feb9d25dee93728c6225ba891530967e9ca,L2b,Esports / Esports / price=0.30-0.50,708,0.1956,0.196,5.48,0.465,0.2427,0.1484,True
0x31864feb9d25dee93728c6225ba891530967e9ca,L2b,Sports / Tennis / price=0.10-0.30,46,0.7905,0.6149,3.22,0.5,0.789,0.792,True
0x31864feb9d25dee93728c6225ba891530967e9ca,L2b,Esports / Esports / price=0.50-0.70,597,0.124,0.1268,5.1,0.601,0.1161,0.1319,True
0x31864feb9d25dee93728c6225ba891530967e9ca,L2b,Sports / Tennis / price=0.30-0.50,163,0.2447,0.241,3.17,0.479,0.1902,0.2986,True
0x31864feb9d25dee93728c6225ba891530967e9ca,L2b,Sports / Tennis / price=0.50-0.70,136,0.1209,0.1324,2.26,0.647,0.0988,0.143,True
0x31864feb9d25dee93728c6225ba891530967e9ca,L2l,Esports / Esports / live,1992,0.1966,0.1967,7.68,0.553,0.1853,0.2079,True
0x31864feb9d25dee93728c6225ba891530967e9ca,L2l,Sports / Tennis / live,387,0.2527,0.2507,4.52,0.561,0.1688,0.3362,True
0x81529ca89509fbaf1eedd1f38b3e957372e75b51,L3,Sports / Soccer / Europa Conference League,31,0.6351,0.3784,2.85,0.71,0.453,0.8059,True
0x497be4bc10a6ccf5f443ddec0ff420e32468a32a,L1,Sports,824,0.153,0.1529,2.34,0.487,0.0614,0.2445,True
0x497be4bc10a6ccf5f443ddec0ff420e32468a32a,L2,Sports / Other sport,777,0.1666,0.1662,2.42,0.484,0.0835,0.2495,True
0x497be4bc10a6ccf5f443ddec0ff420e32468a32a,L3,Sports / Other sport / Guangzhou Daily Weather,696,0.1661,0.1656,2.25,0.481,0.1472,0.1851,True
0x497be4bc10a6ccf5f443ddec0ff420e32468a32a,L2t,Sports / Other sport / type=binary,777,0.1666,0.1662,2.42,0.484,0.0835,0.2495,True
0x497be4bc10a6ccf5f443ddec0ff420e32468a32a,L1b,Sports / price=0.10-0.30,249,0.2371,0.2305,2.33,0.373,0.1126,0.3606,True
0x497be4bc10a6ccf5f443ddec0ff420e32468a32a,L2b,Sports / Other sport / price=0.10-0.30,240,0.248,0.2403,2.39,0.375,0.102,0.3939,True
0x497be4bc10a6ccf5f443ddec0ff420e32468a32a,L2l,Sports / Other sport / live,599,0.2415,0.2386,2.85,0.533,0.1534,0.3294,True
0xc878c6a7ba8ad896a897fe82e48b93fb66dfa6f3,L1,Sports,814,0.2337,0.2337,2.69,0.493,0.4198,0.0476,True
0xc878c6a7ba8ad896a897fe82e48b93fb66dfa6f3,L2,Sports / Other sport,814,0.2337,0.2337,2.69,0.493,0.4198,0.0476,True
0xc878c6a7ba8ad896a897fe82e48b93fb66dfa6f3,L3,Sports / Other sport / Taipei Daily Weather,772,0.2453,0.2449,2.71,0.5,0.457,0.0335,True
0xc878c6a7ba8ad896a897fe82e48b93fb66dfa6f3,L2t,Sports / Other sport / type=binary,814,0.2337,0.2337,2.69,0.493,0.4198,0.0476,True
0xc878c6a7ba8ad896a897fe82e48b93fb66dfa6f3,L1b,Sports / price=0.10-0.30,279,0.2553,0.2537,2.42,0.341,0.2997,0.2111,True
0xc878c6a7ba8ad896a897fe82e48b93fb66dfa6f3,L1b,Sports / price=0.30-0.50,168,0.1935,0.1976,2.07,0.417,0.1351,0.252,True
0xc878c6a7ba8ad896a897fe82e48b93fb66dfa6f3,L1b,Sports / price=0.70-0.90,150,0.0627,0.0825,2.22,0.807,0.0409,0.0844,True
0xc878c6a7ba8ad896a897fe82e48b93fb66dfa6f3,L2b,Sports / Other sport / price=0.10-0.30,279,0.2553,0.2537,2.42,0.341,0.2997,0.2111,True
0xc878c6a7ba8ad896a897fe82e48b93fb66dfa6f3,L2b,Sports / Other sport / price=0.30-0.50,168,0.1935,0.1976,2.07,0.417,0.1351,0.252,True
0xc878c6a7ba8ad896a897fe82e48b93fb66dfa6f3,L2b,Sports / Other sport / price=0.70-0.90,150,0.0627,0.0825,2.22,0.807,0.0409,0.0844,True
0xc878c6a7ba8ad896a897fe82e48b93fb66dfa6f3,L2l,Sports / Other sport / live,445,0.153,0.1564,2.02,0.589,0.2514,0.0551,True
0x0c99d9f172fc4c25fd2aa92f9fc272da5f020c88,L1,Esports,2000,0.1047,0.1044,3.42,0.489,0.0882,0.1212,True
0x0c99d9f172fc4c25fd2aa92f9fc272da5f020c88,L1,Sports,4871,0.0656,0.0656,3.52,0.485,0.0791,0.052,True
0x0c99d9f172fc4c25fd2aa92f9fc272da5f020c88,L2,Esports / Esports,2000,0.1047,0.1044,3.42,0.489,0.0882,0.1212,True
0x0c99d9f172fc4c25fd2aa92f9fc272da5f020c88,L2,Sports / Baseball,1230,0.1153,0.1147,3.08,0.514,0.1179,0.1127,True
0x0c99d9f172fc4c25fd2aa92f9fc272da5f020c88,L2,Sports / Tennis,2459,0.0679,0.068,2.56,0.481,0.0928,0.043,True
0x0c99d9f172fc4c25fd2aa92f9fc272da5f020c88,L3,Sports / Baseball / MLB,1230,0.1153,0.1147,3.08,0.514,0.1179,0.1127,True
0x0c99d9f172fc4c25fd2aa92f9fc272da5f020c88,L3,Esports / Esports / League of Legends,900,0.111,0.1103,2.4,0.493,0.1544,0.0677,True
0x0c99d9f172fc4c25fd2aa92f9fc272da5f020c88,L3,Esports / Esports / Counter Strike,798,0.115,0.1141,2.37,0.489,0.0515,0.1785,True
0x0c99d9f172fc4c25fd2aa92f9fc272da5f020c88,L2t,Esports / Esports / type=child_moneyline,1312,0.1108,0.1103,2.91,0.482,0.0875,0.134,True
0x0c99d9f172fc4c25fd2aa92f9fc272da5f020c88,L2t,Sports / Baseball / type=totals,470,0.1501,0.1471,2.87,0.536,0.1121,0.1882,True
0x0c99d9f172fc4c25fd2aa92f9fc272da5f020c88,L1b,Esports / price=0.10-0.30,353,0.3459,0.3314,2.83,0.28,0.344,0.3477,True
0x0c99d9f172fc4c25fd2aa92f9fc272da5f020c88,L1b,Sports / price=0.10-0.30,800,0.1586,0.1566,2.14,0.253,0.211,0.1062,True
0x0c99d9f172fc4c25fd2aa92f9fc272da5f020c88,L1b,Esports / price=0.30-0.50,850,0.1282,0.127,2.93,0.449,0.1106,0.1457,True
0x0c99d9f172fc4c25fd2aa92f9fc272da5f020c88,L1b,Sports / price=0.50-0.70,1488,0.0651,0.0653,2.92,0.612,0.128,0.0023,True
0x0c99d9f172fc4c25fd2aa92f9fc272da5f020c88,L2b,Esports / Esports / price=0.10-0.30,353,0.3459,0.3314,2.83,0.28,0.344,0.3477,True
0x0c99d9f172fc4c25fd2aa92f9fc272da5f020c88,L2b,Esports / Esports / price=0.30-0.50,850,0.1282,0.127,2.93,0.449,0.1106,0.1457,True
0x0c99d9f172fc4c25fd2aa92f9fc272da5f020c88,L2b,Sports / Baseball / price=0.50-0.70,375,0.182,0.1766,4.28,0.68,0.1788,0.1851,True
0x0c99d9f172fc4c25fd2aa92f9fc272da5f020c88,L2l,Esports / Esports / live,1976,0.1034,0.1032,3.35,0.489,0.0875,0.1194,True
0x0c99d9f172fc4c25fd2aa92f9fc272da5f020c88,L2l,Sports / Baseball / live,1227,0.1164,0.1158,3.1,0.514,0.1184,0.1145,True
0x0c99d9f172fc4c25fd2aa92f9fc272da5f020c88,L2l,Sports / Tennis / live,2187,0.0726,0.0727,2.56,0.481,0.0894,0.0559,True
0x8cc1262cf53b83047926e09af8e5ab3bf537b9f8,L1b,Sports / price=0.10-0.30,139,0.4135,0.3596,2.02,0.288,0.5158,0.3127,True
0x0f17aacbaa5e2382b44fddc45a3ed42f84d70724,L1,Sports,2497,0.1121,0.1121,5.49,0.591,0.1485,0.0758,True
0x0f17aacbaa5e2382b44fddc45a3ed42f84d70724,L2,Sports / Tennis,2491,0.1136,0.1135,5.55,0.592,0.1511,0.076,True
0x0f17aacbaa5e2382b44fddc45a3ed42f84d70724,L3,Sports / Tennis / ATP,1817,0.1166,0.1166,4.82,0.59,0.1457,0.0876,True
0x0f17aacbaa5e2382b44fddc45a3ed42f84d70724,L3,Sports / Tennis / WTA,674,0.1053,0.1055,2.74,0.596,0.1889,0.0216,True
0x0f17aacbaa5e2382b44fddc45a3ed42f84d70724,L2t,Sports / Tennis / type=moneyline,2491,0.1136,0.1135,5.55,0.592,0.1511,0.076,True
0x0f17aacbaa5e2382b44fddc45a3ed42f84d70724,L1b,Sports / price=0.30-0.50,610,0.1713,0.1694,5.22,0.543,0.2011,0.1416,True
0x0f17aacbaa5e2382b44fddc45a3ed42f84d70724,L1b,Sports / price=0.10-0.30,475,0.1911,0.1879,2.73,0.408,0.1949,0.1874,True
0x0f17aacbaa5e2382b44fddc45a3ed42f84d70724,L1b,Sports / price=0.50-0.70,620,0.0848,0.0856,4.15,0.661,0.0885,0.081,True
0x0f17aacbaa5e2382b44fddc45a3ed42f84d70724,L2b,Sports / Tennis / price=0.30-0.50,607,0.1736,0.1716,5.29,0.544,0.1946,0.1526,True
0x0f17aacbaa5e2382b44fddc45a3ed42f84d70724,L2b,Sports / Tennis / price=0.10-0.30,473,0.1961,0.1927,2.8,0.41,0.2049,0.1874,True
0x0f17aacbaa5e2382b44fddc45a3ed42f84d70724,L2b,Sports / Tennis / price=0.50-0.70,620,0.0848,0.0856,4.15,0.661,0.0885,0.081,True
0x0f17aacbaa5e2382b44fddc45a3ed42f84d70724,L2l,Sports / Tennis / live,2285,0.1148,0.1147,5.22,0.588,0.1535,0.0761,True
0x0f17aacbaa5e2382b44fddc45a3ed42f84d70724,L2l,Sports / Tennis / pre,206,0.1,0.1011,2.44,0.636,0.1018,0.0982,True
0x012d83ceb6b39b7431284d6dde0be72350019db6,L1b,Crypto / price=0.50-0.70,54,0.1455,0.1041,2.09,0.741,0.166,0.1251,True
0x214039968998abdcdbd998d15d699296f3570e12,L2b,Sports / Tennis / price=0.50-0.70,52,0.2463,0.1952,2.29,0.731,0.1941,0.2985,True
