id,open_utc,close_utc,symbol,quote,pool,meme_mint,bin_step,base_fee_pct,strategy,bins_below,deposit_sol,sol_price_usd,deposit_usd,tvl_entry,fee_tvl_1h_entry,vol_tvl_1h_entry,vol_trend_entry,mcap_entry,age_min_entry,txns_1h_entry,top10_pct_entry,insiders_pct_entry,price_entry,price_exit,exit_reason,fees_claimed_usd,tokens_left_sold_usd,position_withdrawn_usd,gas_usd,slippage_usd,net_pnl_usd,net_pnl_pct,minutes_held,notes
1,2026-09-25T15:33,2026-09-25T15:37,SWARM,SOL,FRzLWC7LPGAAgDeuWXn7gEwpMyueDe5XN7eAU7fGu2Qz,5g9PWcRUHpmqm5uKycpShKXJB18sGLeCEzgB3qrRpump,100,3.0,bidask,15,,,150.0,166002.6,0.0431,1.0196,12.0728,1224253,406.54,12179,17.25,0,0.001355,0.001105,price,0.36,131.16,0.0,2.5,1.37,-20.98,-13.98,4,sim; min 0.001105 max 0.001355
2,2026-09-25T16:52,2026-09-25T17:09,Bagwork,SOL,FUHvbshwH4k4B7QccGDXttY6xAEJeKZ1m3XZDNy6fARJ,5NhN6zzDkzwXFGPFqtpTopV4ttBeZ6CWy1oRL9Rkpump,100,2.0,bidask,15,,,149.37,185355.19,0.0327,1.0033,9.99,1588482,157.86,17492,16.42,0,0.001632,0.001327,price,1.9,130.22,0.0,2.5,1.37,-19.76,-13.23,17,sim; min 0.001327 max 0.001849
3,2026-09-25T19:09,2026-09-25T19:24,BLUEPRINT,SOL,9aCKXUkgwgawaQ3wQRXzg3wE4Krhuwf8iWLBU2FKfChE,GgsSaetRZNCuP9HEWjbojtVWByRWFxpr93S1wtGFpump,100,3.0,bidask,15,,,148.78,47934.61,0.1656,3.924,0.8319,1013536,114.76,13451,15.32,0,0.001052,0.0007957,price,1.78,120.59,0.0,2.5,1.34,-28.91,-19.43,14,sim; min 0.0007957 max 0.001054
4,2026-09-25T20:09,2026-09-25T21:00,AMERICA,SOL,Dvi4B9Rj4m4DKVL5R2txZ4aB5teNndhyZ8fqtSjZRqHW,pwfAeX3kpWpkuumA6iodJxtVcGAen6BkRPToR2VqLp9,200,2.0,bidask,15,,,147.91,111102.63,0.1238,3.7387,119.4098,1113838,73.81,24864,14.54,0,0.001142,0.001496,volume,3.7,0.0,147.91,2.5,0.0,1.2,0.81,51,sim; min 0.000983 max 0.001826
5,2026-09-25T23:29,2026-09-25T23:33,e/acc,SOL,HC7ArykAUSamJSAJ1aYLrS8aAamvBb1JvqMf1woUtnKo,CbcyNo7m1amFWqEQm2m4PLv1UNvpcL3C1Ujm6AkzpKoU,100,2.0,bidask,15,,,147.95,51385.84,0.0825,2.8025,0.7319,1022567,134.53,16373,16.89,0,0.001039,0.0008595,price,0.47,131.11,0.0,2.5,1.5,-18.87,-12.76,4,sim; min 0.0008595 max 0.001039
